Glacial.Lake.ID,Latitude,Longitude,Altitude_m,Lake.Area..sq.km.,Ice.Cover....,Temperature_C,Precipitation..mm.year.,Slope_Angle_degrees,Nearby.Glacier..Yes.No.,Seismic.Activity..Yes.No.,Moraine.Dam.Type,Historical.GLO.Events..Yes.No.,Risk.Score
GLO052,29.145836770498484,78.42427995938552,4776,0.7214432410294003,40,-4.992014700533256,1467,29,Yes,Yes,Ice-Cored,No,High
GLO053,29.653529490268465,80.37806783711059,4900,0.5261036997328776,13,-9.737239025339672,1115,20,Yes,Yes,Rock-Cored,Yes,Medium
GLO054,30.176275813219647,79.35806691401595,4926,3.6189085526972544,10,-2.026447137004726,1213,37,No,No,Ice-Cored,Yes,High
GLO055,30.5948693982252,80.19207091673043,5004,4.665258085981417,19,-5.928638688891297,888,27,No,No,Ice-Cored,Yes,High
GLO056,30.96709291346051,79.4435409936166,5090,1.4311982018631575,22,2.994936223653875,1237,26,No,No,Ice-Cored,No,Low
GLO057,30.714149211441157,78.99624774033887,4852,3.420168941863752,49,-6.279469312313179,1563,21,Yes,Yes,Ice-Cored,Yes,Medium
GLO058,29.611612691880644,78.51942199348446,4981,3.274951983683371,31,-8.914665749816116,940,23,Yes,Yes,Rock-Cored,Yes,Low
GLO059,30.080599904400973,80.96119469489922,4936,2.307374694801618,11,-2.6325377773736296,1193,37,No,No,Ice-Cored,No,Very High
GLO060,30.553764011189003,79.6647056745721,5042,3.282997669311372,46,-0.4747985021263705,910,43,Yes,Yes,Ice-Cored,No,High
GLO061,30.10597875013709,80.47226451748789,5164,0.5967241871677577,35,-3.0563305583776925,1594,36,No,Yes,Rock-Cored,Yes,Medium
GLO062,31.84832319032558,78.24296123527226,5006,1.719321298312372,37,4.608524654919021,1419,48,No,Yes,Rock-Cored,No,Very High
GLO063,29.36949749062717,80.57187707687997,5016,2.25052661012112,40,0.3056564671587196,1278,23,Yes,Yes,Ice-Cored,Yes,Medium
GLO064,31.088580055853797,80.22249587012212,4746,2.40967166426815,16,-1.7878497570760867,854,42,Yes,Yes,Ice-Cored,No,High
GLO065,30.418501031293783,78.18357983200147,4700,1.1635965914619395,45,-3.8126210609500015,1306,29,Yes,No,Rock-Cored,Yes,Very High
GLO066,30.43922429191017,79.82356330096688,4928,2.5104628927103154,28,1.918650080923328,1046,24,Yes,Yes,Rock-Cored,No,Medium
GLO067,29.719683926344764,78.74445807414915,4866,2.1430817059759444,24,1.6118224490889492,1267,47,No,No,Ice-Cored,No,High
GLO068,30.45905942205733,80.07859848581617,5141,4.478639212944829,24,-4.784942004857212,1452,27,No,Yes,Ice-Cored,Yes,High
GLO069,31.921100659198423,80.92357187150871,5177,0.9327371168577184,47,-6.200525563286013,1226,25,Yes,Yes,Ice-Cored,Yes,High
GLO070,29.478464665227197,80.37422021031782,5099,1.825989905273556,42,3.791397683909734,802,23,No,No,Rock-Cored,Yes,Low
GLO071,30.09059817186405,78.49818029700987,4959,2.127782723948293,32,-1.85139680779554,984,34,Yes,Yes,Rock-Cored,No,Low
GLO072,30.292104105521418,78.60750560321746,4899,1.5552628167072586,24,0.2231495521551441,962,34,Yes,No,Ice-Cored,No,High
GLO073,30.325176592437792,79.6539685909658,5188,4.741357551680172,35,-6.537971423258052,1127,43,No,No,Rock-Cored,Yes,High
GLO074,31.13593548259304,78.12318032058637,5096,2.4602097013680995,45,-4.448261414705236,1131,32,Yes,No,Ice-Cored,No,Very High
GLO075,30.06143161666224,79.71434579802508,5044,3.675762908430921,49,-2.2115168643298317,814,38,No,No,Rock-Cored,No,High
GLO076,29.62597051378871,78.67594935544844,5112,1.927824678378074,34,-7.473031721560098,974,31,No,No,Ice-Cored,Yes,Medium
GLO077,29.710110009649203,78.56886333032318,5028,0.8032885341698917,43,-4.864172621647321,1229,41,No,Yes,Ice-Cored,No,High
GLO078,30.43336096031865,80.2157261293975,4754,3.0197062721210464,13,-6.789340607784216,1520,27,Yes,No,Ice-Cored,Yes,Medium
GLO079,29.47197921164951,80.16020982499106,4801,2.070539629769943,10,-1.3056094458810836,1230,21,No,Yes,Rock-Cored,Yes,Low
GLO080,29.53643119548926,80.36010080379084,5003,4.676866956347214,29,-4.277842083920991,1467,41,Yes,Yes,Rock-Cored,Yes,Very High
GLO081,31.196492386962795,79.70433780143392,4802,1.428432566934081,25,-0.6961414651688855,1505,32,Yes,Yes,Rock-Cored,Yes,Low
GLO082,30.21647791404094,79.33887650698576,5144,0.5161082418053233,37,-4.179283865925907,1273,36,No,Yes,Ice-Cored,Yes,Very High
GLO083,30.888712835955417,80.45901368777886,4788,2.702212097741227,25,-7.539155409922367,1386,27,No,No,Ice-Cored,No,High
GLO084,31.941235576960327,80.61251232795532,5194,0.8485343663217229,36,-3.1376555692907893,841,23,Yes,Yes,Ice-Cored,No,Medium
GLO085,30.496107966864475,79.67144482320856,5198,1.8538656786690253,46,-9.923313408640148,1237,29,No,No,Ice-Cored,Yes,High
GLO086,29.201856745760605,79.35832836349903,5014,1.4436268336025626,33,-1.1275359441998989,1344,35,Yes,No,Ice-Cored,Yes,Very High
GLO087,31.365550660294275,78.52380880994644,5014,4.667196430177678,14,-5.227170785004403,1508,32,Yes,Yes,Rock-Cored,No,Very High
GLO088,29.99914147576628,79.54227580048604,4957,3.110889032490151,18,-8.449741482219018,1130,32,No,No,Ice-Cored,Yes,Medium
GLO089,31.9872940814775,80.44013841154484,4847,1.5356234739408074,30,-5.553573725937663,1464,45,No,No,Rock-Cored,No,High
GLO090,30.64404691416863,80.032550897167,4870,1.0976367564335074,46,2.629164651807629,1007,25,Yes,Yes,Rock-Cored,Yes,Low
GLO091,31.655725758321843,79.74849608259126,5197,2.895405152293113,19,-6.7798555267919065,1573,31,No,No,Rock-Cored,Yes,Low
GLO092,29.80717756773522,80.95404496152261,5016,3.419691281341978,39,-2.002809464658416,1246,37,No,No,Rock-Cored,Yes,Low
GLO093,29.729391241688447,79.05713083761741,4837,2.339393855104237,39,-4.478643364766132,1557,23,Yes,No,Ice-Cored,Yes,Low
GLO094,30.303824725166823,79.48648160453229,5125,2.9571829383234567,34,2.009085361565233,1305,22,Yes,Yes,Rock-Cored,No,Very High
GLO095,30.53988037332901,80.12927254395873,5048,2.746235699601697,47,-9.505886028553922,1424,21,Yes,Yes,Rock-Cored,Yes,Low
GLO096,30.911816266442887,79.02114011447131,5169,0.5270877978782551,30,0.5835010763764803,893,31,No,Yes,Ice-Cored,Yes,High
GLO097,30.00815641265919,79.57157326091976,5173,2.977082369024516,47,-3.7751723087922624,1439,27,No,No,Rock-Cored,No,Medium
GLO098,29.92278733524052,79.4567107103901,5003,3.2461726298053506,19,-3.971730229862774,1381,44,Yes,Yes,Rock-Cored,No,Very High
GLO099,30.45909500861528,79.8317163536822,4938,2.668904382325879,14,1.6860042277706755,1222,45,No,No,Ice-Cored,Yes,Very High
GLO100,31.166586459632917,78.730006635679,4769,1.3025630668864665,38,1.127574188795851,833,27,Yes,No,Ice-Cored,No,Medium
GLO101,29.53563502546248,78.1287584531595,5058,0.7814567016029509,43,3.7020639568790106,888,41,No,Yes,Rock-Cored,No,Medium
GLO102,30.35717729992177,80.37192554371505,5074,0.9273291249399898,43,4.881344338229589,1094,23,No,Yes,Ice-Cored,No,Medium
GLO103,29.874984981196864,80.51065086368206,4887,3.782505272559406,15,-8.509859549920684,1537,45,No,No,Rock-Cored,Yes,Medium
GLO104,30.423543784052196,78.12288462921684,5176,2.51910773191611,30,-2.403539201195457,1580,43,Yes,Yes,Rock-Cored,Yes,Medium
GLO105,29.004995719082924,80.97748334368612,4789,4.092128033621028,39,0.580902678241614,1295,26,No,No,Rock-Cored,Yes,Medium
GLO106,31.32620188104529,78.74931008464456,4820,1.0014499694785788,45,3.192913447288376,1198,45,No,Yes,Rock-Cored,No,Medium
GLO107,31.99428450850606,78.41397301824212,4716,2.0770509014306744,21,-0.7774778644643767,983,36,No,Yes,Ice-Cored,Yes,High
GLO108,29.004208442835537,79.08786919719508,4710,3.55137739171802,29,1.2566273534410026,1290,49,Yes,No,Ice-Cored,No,Medium
GLO109,31.57365930479282,80.98051791637658,5119,3.6922136680739657,34,-4.049159155553314,1469,49,No,No,Rock-Cored,No,Low
GLO110,31.501906599241902,80.68089925704865,5092,4.404007642956781,11,-1.2462299433875046,1183,21,Yes,Yes,Ice-Cored,No,Medium
GLO111,29.800935842515976,79.59154001788477,5192,2.905751941275204,37,2.857370418431545,1574,23,Yes,Yes,Ice-Cored,Yes,Very High
GLO112,30.398831865072022,80.40245756007239,5175,3.0107464385630456,43,-1.8164188480552357,1017,26,Yes,Yes,Ice-Cored,Yes,Very High
GLO113,29.785760270562136,79.52364874133437,5036,3.5190631819962244,37,0.6595046956245962,880,31,Yes,No,Ice-Cored,No,Medium
GLO114,30.102470443645363,79.39547674961338,4796,0.8495853810683349,25,3.5765439677098687,1498,32,No,Yes,Ice-Cored,No,Very High
GLO115,29.58604728301129,78.56130348664956,5114,2.9221720153937296,49,-2.1824948688916086,1249,22,No,No,Rock-Cored,Yes,High
GLO116,30.919527862514855,78.91934786349866,4896,0.6770158098995505,25,2.6961414976009337,974,38,Yes,Yes,Ice-Cored,Yes,Medium
GLO117,29.604341675158025,78.97398516505628,4802,1.1052975205049098,20,-7.9874659458983555,947,20,Yes,No,Rock-Cored,Yes,High
GLO118,30.977816000674068,80.62121410803512,4848,3.066802767089205,22,-4.626916484162599,922,37,Yes,No,Ice-Cored,Yes,Medium
GLO119,31.672937731272672,78.98649009513409,5019,1.3990239231482846,20,-9.756587793616196,1349,28,Yes,No,Rock-Cored,No,Very High
GLO120,29.27906073985705,80.24105553215769,4709,3.860096680616602,45,-4.894082178180827,949,44,No,No,Rock-Cored,Yes,Medium
GLO121,30.25132069877242,80.89515936283283,4866,2.700977569578899,44,-9.799600135486756,1406,29,No,No,Ice-Cored,No,Low
GLO122,29.401386202018287,78.11780234549195,5002,1.624630654400252,48,-1.1375819934504,1429,49,No,Yes,Ice-Cored,No,Very High
GLO123,30.596680323958747,78.94512686818604,5091,1.8773413649476984,36,-6.312186494737123,1115,36,No,Yes,Rock-Cored,Yes,Medium
GLO124,31.26761733712097,80.92039768667499,5186,2.8955477366412867,47,-9.403906987971771,877,35,No,No,Ice-Cored,Yes,Low
GLO125,29.2565310531558,78.69633168008478,4787,4.149375528273865,26,-7.236465496287724,1007,39,No,No,Rock-Cored,Yes,Low
GLO126,29.25838891164836,80.49462590773507,5138,2.4347529992378814,31,1.8693712741594557,1488,39,Yes,Yes,Rock-Cored,No,Medium
GLO127,29.78647510689185,80.57109630903562,5021,1.6358999504682847,19,-1.553042719984944,1361,24,Yes,Yes,Rock-Cored,Yes,Very High
GLO128,29.861819345645408,80.88850851770097,5155,4.274876898410518,24,0.7550226203596218,1596,36,Yes,No,Ice-Cored,No,Medium
GLO129,29.792102471671477,78.33506108921121,4929,2.077839102373174,48,-0.9374353342746352,1129,37,Yes,Yes,Ice-Cored,No,Medium
GLO130,31.859116610671418,80.11317936015028,4942,2.107419099719793,47,-9.174664017687668,1307,20,No,Yes,Rock-Cored,No,High
GLO131,29.534671154419915,79.9325174321,4997,3.5630793479013256,42,-6.805843939064106,941,47,Yes,Yes,Ice-Cored,No,Low
GLO132,31.84443550731307,78.97479340040765,5039,4.563686310489908,47,-9.433720116480796,1251,25,No,No,Ice-Cored,Yes,Medium
GLO133,29.282867522634135,78.27779861304148,5170,4.338013150764902,22,-0.0637829390568551,1290,30,Yes,Yes,Ice-Cored,No,Medium
GLO134,29.03584547612372,80.14596072648075,4908,1.7405330856155066,29,4.109761709871266,1530,22,No,Yes,Rock-Cored,Yes,High
GLO135,29.188469338518267,78.76148287308125,4735,1.2700137088789596,34,0.8455679587269227,1589,27,No,Yes,Ice-Cored,No,Medium
GLO136,30.40474847136706,78.99310599724959,4786,3.857968106918389,31,-1.0323828183786483,1183,21,Yes,Yes,Ice-Cored,Yes,High
GLO137,30.855986341881472,80.2599640716437,4999,3.354962300821634,42,-8.210510913742512,1273,49,Yes,No,Ice-Cored,Yes,Low
GLO138,29.53180645254114,80.9574529895655,4815,3.8167983608852056,13,2.8521656035154983,1353,35,No,Yes,Ice-Cored,Yes,Medium
GLO139,30.05024327163413,79.00606867990298,4894,0.697883213161885,32,-6.780867967129233,1583,31,Yes,No,Rock-Cored,Yes,Very High
GLO140,29.099909650228145,79.23489564093462,5187,3.171137764726194,30,-2.8064087844783154,1546,34,No,Yes,Ice-Cored,Yes,Very High
GLO141,30.46324769671537,78.40384943884656,4847,3.476904302053839,31,-0.7870324910342834,1334,34,No,Yes,Rock-Cored,No,High
GLO142,31.711566193862136,80.79856066085014,4739,1.7924548014755557,11,-8.2960823090913,1232,30,No,Yes,Rock-Cored,Yes,Very High
GLO143,29.635545605403934,78.19291175771187,5102,0.7160902456856176,48,3.939395133495898,1291,46,No,No,Rock-Cored,Yes,High
GLO144,31.18073503794937,80.40301607776856,4727,1.565882409254065,34,-5.109999754239978,1314,40,Yes,Yes,Ice-Cored,No,Medium
GLO145,30.90656665313407,78.57278118722698,5184,0.5941417598678131,23,-6.703575837571438,1243,21,Yes,No,Ice-Cored,Yes,Medium
GLO146,29.873820261550197,80.50528393391694,5003,4.106514060205182,34,-4.846951403197576,1182,38,No,No,Rock-Cored,No,Medium
GLO147,30.23024166116485,79.3566793695036,5176,3.4037565475588205,17,-0.2757898055788264,1480,30,No,No,Rock-Cored,Yes,Low
GLO148,31.668854280778383,80.35584605528744,5070,2.212494956641486,16,-6.50901687078221,1246,48,No,No,Ice-Cored,Yes,Very High
GLO149,29.88306268975108,80.78927748072894,5092,4.913533905286868,24,-3.975804449218037,969,35,Yes,Yes,Rock-Cored,Yes,Very High
GLO150,31.621011540813043,80.45349374281864,5059,1.6950951360396962,20,1.65944591493475,1577,30,Yes,No,Rock-Cored,No,High
GLO151,30.15804707499673,80.85307933460099,5137,1.813004255086815,25,3.725578047289188,1198,23,Yes,Yes,Rock-Cored,No,High
GLO152,30.50298764112395,78.31193250958226,4726,4.395530451255702,26,-1.4355886009645964,1293,28,Yes,No,Ice-Cored,Yes,Medium
GLO153,29.06793093097257,79.80839292920794,4783,3.351188537901716,10,-2.634656150182061,1058,33,No,Yes,Ice-Cored,No,High
GLO154,31.329902671672613,80.46619865277555,5172,4.322868549808983,28,-1.468435513474576,842,45,Yes,No,Rock-Cored,No,Medium
GLO155,30.64755695588656,80.51287155692003,5105,3.9257308264297146,45,-3.2571928707859605,1342,20,Yes,No,Ice-Cored,No,Low
GLO156,31.826549684443897,78.01159608314447,5014,3.03887995722709,22,-9.000356950638205,839,32,No,Yes,Ice-Cored,No,Medium
GLO157,31.483198894935875,78.48053531939118,4997,1.704784090482674,48,2.3083817105907034,896,24,Yes,Yes,Ice-Cored,No,High
GLO158,30.917371853386545,79.95103778899536,4792,2.0596141194409863,11,-4.719438731100889,852,36,No,Yes,Ice-Cored,No,Very High
GLO159,29.45579182631068,80.63442845837415,4991,3.755586705256888,49,-6.946515544252092,1152,26,No,No,Ice-Cored,No,High
GLO160,31.01367874304295,79.2478512150265,5034,2.576556346215428,23,-1.6433426312346242,803,39,No,No,Ice-Cored,Yes,Very High
GLO161,31.932555526951088,78.1239981349745,4704,2.0818377653428657,36,3.000201898644498,1162,48,Yes,No,Rock-Cored,Yes,Low
GLO162,29.584241897747777,80.62756092051515,4812,2.7065731849541463,33,4.015737739761796,1322,29,No,No,Ice-Cored,No,High
GLO163,30.026232171114536,80.20955512942282,4706,3.91397319669614,41,1.2643909656850774,1569,21,Yes,No,Ice-Cored,No,High
GLO164,30.30078168982505,79.13318956713272,4880,3.133778744876539,21,-5.104170569290552,1418,28,Yes,No,Rock-Cored,No,High
GLO165,30.2847803827322,78.31737633731808,4891,4.55801530993692,25,-9.472447880709971,1522,34,No,No,Ice-Cored,Yes,High
GLO166,31.35320424115634,78.73070501140131,4908,4.1313224622653895,28,0.3265860259389583,1236,48,No,Yes,Rock-Cored,Yes,Medium
GLO167,31.666891017975527,79.74247038151813,4923,2.143958478890584,23,-7.679749814967578,1398,31,Yes,No,Ice-Cored,Yes,High
GLO168,30.186633731753908,80.84204890371547,4786,4.4372503206648855,22,1.916681897695753,1537,39,Yes,No,Ice-Cored,Yes,Low
GLO169,30.379991287219188,79.10952555465626,4963,4.613754002660445,19,-3.6659143254705473,1439,37,Yes,No,Ice-Cored,Yes,Medium
GLO170,30.362261453258284,78.86845102979746,4728,2.77629453941336,41,1.1498557454635137,1424,45,Yes,No,Rock-Cored,No,Low
GLO171,31.188744507527336,78.79443693181793,4887,4.798507768924706,42,2.875763358571957,1217,40,No,No,Ice-Cored,No,Medium
GLO172,30.763113200993423,78.69922451665433,5122,2.4810299657057597,21,-4.632311871799446,1251,27,Yes,No,Ice-Cored,No,Medium
GLO173,30.392344187731037,80.58910518350427,4940,0.8033242372202664,22,1.6191058694593927,840,46,No,No,Ice-Cored,No,Medium
GLO174,29.29337176612333,79.9290258349969,4722,0.9216626278905836,10,0.3431121399851218,1279,44,Yes,Yes,Rock-Cored,Yes,Medium
GLO175,31.72466984008064,79.72343355146698,5142,2.1559744790367352,11,-1.4993917679567517,1496,45,No,Yes,Ice-Cored,No,Low
GLO176,29.3190048150045,80.95564249873779,4982,4.714375611195137,47,-6.647699474959552,1175,27,No,Yes,Ice-Cored,No,Very High
GLO177,29.530241393863538,80.5836925880193,4784,3.5080569350087725,49,-3.016255305785987,939,21,Yes,Yes,Ice-Cored,No,Low
GLO178,30.86329860494048,79.18647544849405,4707,3.7061173935750342,19,1.4278095784651352,833,46,Yes,No,Rock-Cored,Yes,High
GLO179,29.258245585189695,78.51256835447006,5124,0.5921659801458897,22,0.2329490816504194,1068,38,Yes,No,Rock-Cored,No,Medium
GLO180,30.069030962549437,78.47096856228573,5147,1.3190343116820689,27,2.396074662330804,1049,21,Yes,Yes,Rock-Cored,Yes,Low
GLO181,29.91642437146148,79.08135210301398,4950,4.065043776798933,46,-7.258038897746095,1490,48,Yes,No,Ice-Cored,No,Medium
GLO182,29.339345539415564,79.04355383723563,5174,0.7540560530982753,42,-8.718927130844929,1239,44,Yes,No,Rock-Cored,Yes,High
GLO183,30.44004520110063,79.74668996525898,5094,4.091970259812266,40,-0.0390613123138035,1308,48,No,Yes,Ice-Cored,Yes,Medium
GLO184,29.41159662063581,80.79378091438227,4914,3.762797095710434,26,-2.4464058027575595,1140,20,No,Yes,Ice-Cored,Yes,Very High
GLO185,30.11914742826382,78.34092087960954,5091,4.009459999984382,26,-3.3213342330176223,817,20,No,No,Rock-Cored,No,High
GLO186,29.927817963686827,80.45445399471505,4793,4.308285288560845,45,-3.044274528473766,1336,39,No,No,Rock-Cored,No,Very High
GLO187,30.764907323364632,79.940088608713,4757,4.77837537957801,26,-4.60886919647081,1194,24,Yes,Yes,Ice-Cored,No,Low
GLO188,30.57933202400407,79.63612999741514,5031,0.6126699500205791,27,-3.11001883306508,955,32,No,Yes,Ice-Cored,No,High
GLO189,30.487344406699226,80.9172293880927,5119,3.751834475951621,30,-1.9158127626895567,1074,46,No,Yes,Ice-Cored,No,Low
GLO190,29.115760061646093,80.22333948198381,4767,1.984043061082004,32,-6.091841164192361,905,41,No,Yes,Rock-Cored,Yes,Medium
GLO191,31.025938261567397,79.95589038348567,5096,1.174998410452006,29,-9.952850401235716,899,43,No,No,Rock-Cored,Yes,Low
GLO192,29.87427101500192,80.93964187035375,4865,1.3494258777039363,47,-1.767395172562745,1543,48,Yes,No,Ice-Cored,No,Medium
GLO193,31.425522417250576,80.39175086261716,4734,1.7117825006090783,20,-0.6548969138446399,935,32,Yes,Yes,Ice-Cored,Yes,Very High
GLO194,29.94770737474457,80.17033380451629,5029,3.8848909979067794,41,1.9131134715791287,1330,46,No,No,Ice-Cored,No,Low
GLO195,29.67078671685809,78.72117966589329,4911,2.5177160884600003,34,-9.679794689157244,1183,24,Yes,No,Rock-Cored,No,Medium
GLO196,30.185868509164493,79.23172537603433,4870,4.522350770968761,26,0.0230797427369466,827,31,Yes,No,Rock-Cored,Yes,Medium
GLO197,30.630274631751256,79.91946384055872,4712,0.9995476433832295,24,-7.06818419036774,1008,26,No,No,Ice-Cored,No,Medium
GLO198,31.005468280631263,79.4175532343943,4865,3.3112565365972526,35,-6.838673200849118,1109,24,No,Yes,Ice-Cored,No,Medium
GLO199,29.147693485979417,80.05938546008665,4810,1.4982539397539896,24,-4.370000097574934,1544,40,No,No,Ice-Cored,Yes,High
